,Name,Label,Type,Codes
0,C1SA28F,Light leisure activity frequency (winter),Code,"-1, RESPONDENT DOES NOT HAVE SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
1,C1SA28E,Light leisure activity frequency (summer),Code,"-1, RESPONDENT DOES NOT HAVE SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
2,B1SA32F,Light leisure activity frequency (winter),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
3,CASA8F,Light leisure activity frequency (winter),Code,"-1, RESPONDENT DOES NOT HAVE ANY SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
4,CASA8E,Light leisure activity frequency (summer),Code,"-1, RESPONDENT DOES NOT HAVE ANY SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
5,BASA8F,Light leisure activity freq (winter),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
6,BASA8E,Light leisure activity freq (summer),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
7,B1SA32E,Light leisure activity frequency (summer),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
8,B1SA32B,Light job activity frequency (winter),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
9,BASA8B,Light job activity frequency (winter),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
10,C1SA28B,Light job activity frequency (winter),Code,"-1, RESPONDENT DOES NOT HAVE SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
11,CASA8B,Light job activity frequency (winter),Code,"-1, RESPONDENT DOES NOT HAVE ANY SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
12,C1SA28A,Light job activity frequency (summer),Code,"-1, RESPONDENT DOES NOT HAVE SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
13,BASA8A,Light job activity frequency (summer),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
14,B1SA32A,Light job activity frequency (summer),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
15,CASA8A,Light job activity frequency (summer),Code,"-1, RESPONDENT DOES NOT HAVE ANY SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
16,BASA8D,Light chores activity frequency (winter),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
17,C1SA28D,Light chores activity frequency (winter),Code,"-1, RESPONDENT DOES NOT HAVE SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
18,B1SA32D,Light chores activity frequency (winter),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
19,BASA8C,Light chores activity frequency (summer),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
20,C1SA28C,Light chores activity frequency (summer),Code,"-1, RESPONDENT DOES NOT HAVE SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
21,B1SA32C,Light chores activity frequency (summer),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
22,CASA8C,Light chores activity frequency (summer),Code,"-1, RESPONDENT DOES NOT HAVE ANY SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
23,A1SA21,Winter moderate activity,Code,"1, SEVERAL TIMES A WEEK OR MORE | 2, ABOUT ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ABOUT ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 7, DONT KNOW | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
24,A1SMODER,Times/month moderate activity,Numeric,
25,A1SA20,Summer moderate activity,Code,"1, SEVERAL TIMES A WEEK OR MORE | 2, ABOUT ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ABOUT ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 7, DONT KNOW | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
26,C1SA27F,Moderate leisure activity frequency (winter),Code,"-1, RESPONDENT DOES NOT HAVE SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
27,CASA7F,Moderate leisure activity frequency (winter),Code,"-1, RESPONDENT DOES NOT HAVE ANY SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
28,C1SA27E,Moderate leisure activity frequency (summer),Code,"-1, RESPONDENT DOES NOT HAVE SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
29,CASA7E,Moderate leisure activity frequency (summer),Code,"-1, RESPONDENT DOES NOT HAVE ANY SAQ DATA | 1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
30,B1SA31F,Moderate leisure activity frequency (winter),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED | 9, INAPP | -1, RESPONDENT DOES NOT HAVE SAQ DATA"
31,BASA7F,Moderate leisure activity freq (winter),Code,"1, SEVERAL TIMES A WEEK | 2, ONCE A WEEK | 3, SEVERAL TIMES A MONTH | 4, ONCE A MONTH | 5, LESS THAN ONCE A MONTH | 6, NEVER | 8, REFUSED"
