,Name,Label,Type,Codes
0,MIDJA_IDs,MIDJA ID,Numeric,
1,J2CMONTH,Clinic Visit Date: MONTH,Numeric,
2,J2CYEAR,Clinic Visit Date: YEAR,Numeric,
3,J1SQ1,Gender,Code,"1, MALE | 2, FEMALE"
4,J2CAGE,Age at Clinic Visit,Numeric,
5,J2QSAQ,Is SAQ data available?,Code,"1, YES | 2, NO"
6,J2QSYMN,Total number of Symptoms and Chronic Conditions (MIDUS items only),Code,"0, NONE"
7,J2QSYMX,Any Symptoms and Chronic Conditions?--Yes/No (MIDUS items only),Code,"1, YES | 2, NO"
8,J2QSYMN2,Total number of Symptoms and Chronic Conditions,Code,"0, NONE"
9,J2QSYMX2,Any Symptoms and Chronic Conditions?--Yes/No,Code,"1, YES | 2, NO"
10,J2Q7,Usual bedtime (past month),Numeric,
11,J2Q8,Minutes to fall asleep,Numeric,
12,J2Q9,Usual getting up time (past month),Numeric,
13,J2Q10,Hours of sleep a night,Numeric,
14,J2Q11A,Sleep trouble could not sleep,Code,"1, NOT DURING THE PAST MONTH | 2, LESS THAN ONCE A WEEK | 3, ONCE OR TWICE A WEEK | 4, THREE OR MORE TIMES A WEEK | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
15,J2Q11B,Sleep trouble woke up,Code,"1, NOT DURING THE PAST MONTH | 2, LESS THAN ONCE A WEEK | 3, ONCE OR TWICE A WEEK | 4, THREE OR MORE TIMES A WEEK | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
16,J2Q12,Sleep quality overall,Code,"1, VERY GOOD | 2, FAIRLY GOOD | 3, FAILY BAD | 4, VERY BAD | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
17,J2Q13,Keep up enough enthusiasm,Code,"1, NO PROBLEM AT ALL | 2, ONLY A VERY SLIGHT PROBLEM | 3, SOMEWHAT OF A PROBLEM | 4, A VERY BIG PROBLEM | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
18,J2Q14,Taken medicine to sleep,Code,"1, NOT DURING THE PAST MONTH | 2, LESS THAN ONCE A WEEK | 3, ONCE OR TWICE A WEEK | 4, THREE OR MORE TIMES A WEEK | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
19,J2Q15,Trouble staying awake,Code,"1, NOT DURING THE PAST MONTH | 2, LESS THAN ONCE A WEEK | 3, ONCE OR TWICE A WEEK | 4, THREE OR MORE TIMES A WEEK | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
20,J2Q16,Feeling sleepy daytime,Code,"1, NOT DURING THE PAST MONTH | 2, LESS THAN ONCE A WEEK | 3, ONCE OR TWICE A WEEK | 4, THREE OR MORE TIMES A WEEK | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
21,J2QSQ_S1,SLEEP Component 1 - Subjective Sleep Quality,Code,"0, VERY GOOD | 1, FAIRLY GOOD | 2, FAIRLY BAD | 3, VERY BAD | 8, NOT CALCULATED - Due to missing data"
22,J2QSQ_S2,SLEEP Component 2 - Sleep Latency,Code,"0, SUM OF SUBSCALES = 0 | 1, SUM OF SUBSCALES = 1-2 | 2, SUM OF SUBSCALES = 3-4 | 3, SUM OF SUBSCALES = 5-6 | 8, NOT CALCULATED - Due to missing data"
23,J2QSQ_S3,SLEEP Component 3 - Sleep Duration,Code,"0, > 7 HOURS | 1, 6-7 HOURS | 2, 5-6 HOURS | 3, < 5 HOURS | 8, NOT CALCULATED - Due to missing data"
24,J2QSQ_S4,SLEEP Component 4 - Habitual Sleep Efficiency,Code,"0, > 85% | 1, 75-84% | 2, 65-74% | 3, < 65% | 4, > 100% | 8, NOT CALCULATED - Due to missing data"
25,J2QSQ_S5,SLEEP Component 5 - Sleep Disturbances Range,Code,"0, 0 | 1, 1-9 | 2, 10-18 | 3, 19-27 | 8, NOT CALCULATED - Due to missing data"
26,J2QSQ_S6,SLEEP Component 6 - Use of Sleeping Medication,Code,"0, NOT DURING THE PAST MONTH | 1, LESS THAN ONCE A WEEK | 2, ONCE OR TWICE A WEEK | 3, THREE OR MORE TIMES A WEEK | 8, NOT CALCULATED - Due to missing data"
27,J2QSQ_S7,SLEEP Component 7 - Daytime Dysfunction,Code,"0, 0 | 1, 1-2 | 2, 3-4 | 3, 5-6 | 8, NOT CALCULATED - Due to missing data"
28,J2QSQ_GS,SLEEP: Global Score,Numeric,
29,J2Q26,Follow a special diet,Code,"1, YES | 2, NO | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
30,J2Q27A,Number of servings of milk,Code,"1, NEVER | 2, LESS THAN 1 X PER WEEK | 3, 1-4 X PER WEEK | 4, ALMOST DAILY | 5, 1-3 X PER DAY | 6, 4-7 X PER DAY | 7, 8 OR MORE X PER DAY | 97, DON'T KNOW | 98, MISSING | 99, INAPP"
31,J2Q27B,Number of servings of yogurt,Code,"1, NEVER | 2, LESS THAN 1 X PER WEEK | 3, 1-4 X PER WEEK | 4, ALMOST DAILY | 5, 1-3 X PER DAY | 6, 4-7 X PER DAY | 7, 8 OR MORE X PER DAY | 97, DON'T KNOW | 98, MISSING | 99, INAPP"
32,J2Q27C,Number of servings of small fish,Code,"1, NEVER | 2, LESS THAN 1 X PER WEEK | 3, 1-4 X PER WEEK | 4, ALMOST DAILY | 5, 1-3 X PER DAY | 6, 4-7 X PER DAY | 7, 8 OR MORE X PER DAY | 97, DON'T KNOW | 98, MISSING | 99, INAPP"
33,J2Q28A,Number of serving of green tea (caffeinated),Code,"1, NEVER | 2, LESS THAN 1 X PER WEEK | 3, 1-4 X PER WEEK | 4, ALMOST DAILY | 5, 1-3 X PER DAY | 6, 4-7 X PER DAY | 7, 8 OR MORE X PER DAY | 97, DON'T KNOW | 98, MISSING | 99, INAPP"
34,J2Q28B,Number of serving of other tea (decaffeinated),Code,"1, NEVER | 2, LESS THAN 1 X PER WEEK | 3, 1-4 X PER WEEK | 4, ALMOST DAILY | 5, 1-3 X PER DAY | 6, 4-7 X PER DAY | 7, 8 OR MORE X PER DAY | 97, DON'T KNOW | 98, MISSING | 99, INAPP"
35,J2Q28C,Number of serving of coffee,Code,"1, NEVER | 2, LESS THAN 1 X PER WEEK | 3, 1-4 X PER WEEK | 4, ALMOST DAILY | 5, 1-3 X PER DAY | 6, 4-7 X PER DAY | 7, 8 OR MORE X PER DAY | 97, DON'T KNOW | 98, MISSING | 99, INAPP"
36,J2Q28D,Number of serving of other caffeine beverages,Code,"1, NEVER | 2, LESS THAN 1 X PER WEEK | 3, 1-4 X PER WEEK | 4, ALMOST DAILY | 5, 1-3 X PER DAY | 6, 4-7 X PER DAY | 7, 8 OR MORE X PER DAY | 97, DON'T KNOW | 98, MISSING | 99, INAPP"
37,J2Q29,"Average day, number of glasses of water",Code,"1, NONE | 2, LESS THAN 1 GLASS/DAY | 3, 1-3 GLASSES/DAY | 4, 4-7 GLASSES/DAY | 5, 8 OR MORE GLASSES/DAY | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
38,J2Q30,"Average day, number of sugared beverages",Code,"1, NONE | 2, LESS THAN 1 GLASS/DAY | 3, 1-3 GLASSES/DAY | 4, 4-7 GLASSES/DAY | 5, 8 OR MORE GLASSES/DAY | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
39,J2Q31,"Average day, number of servings of vegetables",Code,"1, NONE | 2, LESS THAN 1 SERVING/DAY | 3, 1-4 SERVINGS/DAY | 4, 5-9 SERVINGS/DAY | 5, 10 OR MORE SERVINGS/DAY | 7, DON'T KNOW | 8, MISSING | 9, INAPP"
